="Control Mean",="69.927",="72.617",="71.065"
="SD",="11.812",="8.518",="10.615"
="Treatment Effect",="2.019",="",="-0.015",="",="0.979",=""
="",="1.139",="*",="1.062",="",="0.804",=""
="N",="301",="",="234",="",="535",=""
="Control Mean",="68.770",="71.964",="70.075"
="SD",="11.098",="9.477",="10.569"
="Treatment Effect",="0.983",="",="-1.105",="",="0.022",=""
="",="1.209",="",="1.519",="",="0.945",=""
="N",="298",="",="216",="",="514",=""
="Control Mean",="69.427",="72.460",="70.656"
="SD",="10.822",="8.022",="9.885"
="Treatment Effect",="1.399",="",="-0.505",="",="0.513",=""
="",="1.111",="",="1.195",="",="0.827",=""
="N",="298",="",="214",="",="512",=""
="Control Mean",="68.183",="70.544",="69.209"
="SD",="11.171",="8.275",="10.074"
="Treatment Effect",="-0.285",="",="0.389",="",="0.184",=""
="",="1.029",="",="0.888",="",="0.684",=""
="N",="381",="",="328",="",="709",=""
="Control Mean",="67.040",="70.096",="68.306"
="SD",="11.384",="9.419",="10.710"
="Treatment Effect",="-1.975",="",="1.806",="",="0.214",=""
="",="1.342",="",="1.102",="",="0.874",=""
="N",="377",="",="300",="",="677",=""
="Control Mean",="67.744",="70.359",="68.827"
="SD",="10.455",="7.885",="9.554"
="Treatment Effect",="-1.204",="",="1.493",="",="0.309",=""
="",="1.040",="",="0.904",="*",="0.700",=""
="N",="377",="",="299",="",="676",=""
