ethnic_sentiment,rural,unemployed,male,education,age,age_sq,dist_match,post_victory,country_match_fe,country_year_fe,language_year_id,future_victory,day,month,dayweek
National id only,1,0,1,3,35,1225,-1,1,1386,15,270,0,5,9,1
Ethnic id more than national,0,0,0,3,50,2500,4,0,1386,15,270,1,31,8,3
National and ethnic ids equal,0,0,0,1,38,1444,11,0,2547,27,271,1,21,5,3
Ethnic id more than national,1,0,0,1,41,1681,12,0,2547,27,271,1,20,5,2
Ethnic id more than national,1,0,0,3,23,529,11,0,2547,27,271,1,21,5,3
Ethnic id only,1,0,1,2,30,900,3,0,1386,15,270,1,1,9,4
National and ethnic ids equal,0,0,1,6,25,625,4,0,1386,15,270,1,31,8,3
National and ethnic ids equal,1,1,1,0,60,3600,15,0,2547,27,271,1,17,5,6
National id only,1,1,1,4,27,729,13,0,2547,27,271,1,19,5,1
Ethnic id more than national,1,0,0,1,18,324,12,0,2547,27,271,1,20,5,2
Ethnic id more than national,0,1,1,2,70,4900,3,0,1386,15,270,1,1,9,4
