ln_uwe , ln_ahe , age , sex , race , years_ed
5.1357984371 , 0.946143695 , 30 , 1 , 1 , 12
5.7291002826 , 2.0402208285 , 31 , 2 , 1 , 12
2.9565115604 , -0.039220713 , 48 , 2 , 1 , 11
6.758223545 , 3.0693440909 , 48 , 1 , 1 , 16
5.2337788454 , 1.6784307839 , 26 , 2 , 1 , 13
7.1271379208 , 3.1198047355 , 35 , 1 , 1 , 13
5.2388939461 , 1.550014492 , 46 , 2 , 1 , 12
6.3409018237 , 2.5567121898 , 45 , 1 , 1 , 8
6.182611425 , 2.4937319709 , 38 , 1 , 1 , 13
5.7502500414 , 2.0613705872 , 44 , 2 , 1 , 12
5.3130164954 , 2.3172842218 , 32 , 2 , 1 , 16
2.9565115604 , 1.5702171993 , 28 , 2 , 1 , 12
5.7101722728 , 2.0212928186 , 50 , 1 , 1 , 9
6.2887160706 , 2.4820535808 , 42 , 2 , 1 , 16
5.2113059896 , 2.4387172673 , 27 , 2 , 1 , 13
5.7291002826 , 2.0402208285 , 36 , 2 , 1 , 12
6.0010339981 , 2.2398338824 , 32 , 2 , 1 , 14
5.3544068332 , 1.6655273791 , 41 , 1 , 1 , 12
5.2495272024 , 1.090644119 , 40 , 2 , 1 , 12
4.7318028369 , 1.9592141147 , 29 , 2 , 1 , 12
6.8850179651 , 3.6661421402 , 40 , 1 , 1 , 16
5.3783600742 , 1.6894806201 , 43 , 2 , 1 , 14
4.0851356231 , 0.4475494634 , 25 , 2 , 1 , 11
5.1159958098 , 1.7147984281 , 28 , 2 , 1 , 12
5.560681631 , 1.8718021769 , 39 , 2 , 1 , 13
4.6852128937 , 1.6894806201 , 30 , 1 , 1 , 13
4.8681259914 , 1.5008301615 , 39 , 2 , 1 , 10
6.1438123605 , 2.1364791753 , 35 , 1 , 1 , 11
4.605170186 , 1.6094379124 , 30 , 2 , 1 , 12
5.7598719413 , 2.0709924872 , 43 , 2 , 1 , 18
6.0963441779 , 2.3351440622 , 47 , 1 , 1 , 12
5.952243834 , 2.2633643798 , 31 , 1 , 1 , 12
5.9009505396 , 2.2120710855 , 36 , 2 , 1 , 12
5.2557577521 , 1.9976612141 , 46 , 2 , 1 , 14
4.480007043 , 0.7911275889 , 39 , 2 , 1 , 16
5.1849886812 , 1.4961092271 , 38 , 1 , 1 , 12
5.9009505396 , 2.2120710855 , 35 , 1 , 1 , 16
6.348139491 , 4.0455543981 , 37 , 2 , 1 , 16
5.9814142113 , 2.2925347571 , 29 , 1 , 1 , 9
6.1753873853 , 2.3687248955 , 40 , 1 , 1 , 16
6.2523484264 , 2.4456859366 , 39 , 2 , 1 , 16
4.5659494728 , 0.6539264674 , 30 , 1 , 1 , 14
4.5098600062 , 0.8209805521 , 27 , 1 , 1 , 12
5.297644063 , 1.6087646089 , 42 , 2 , 1 , 12
4.4716387934 , 1.293584963 , 31 , 2 , 1 , 12
7.0169545709 , 3.3280751168 , 38 , 1 , 1 , 16
6.0990245652 , 2.410145111 , 36 , 1 , 1 , 13
6.3540369604 , 2.6651575062 , 41 , 2 , 1 , 18
6.6941811787 , 3.0053017246 , 31 , 1 , 1 , 18
6.0235528617 , 2.2168903719 , 30 , 2 , 1 , 12
5.952243834 , 2.2633643798 , 42 , 2 , 1 , 13
6.4708888068 , 2.7820093527 , 28 , 2 , 1 , 14
6.5958855946 , 2.5015410324 , 30 , 1 , 1 , 13
5.623809209 , 1.9349297549 , 28 , 2 , 1 , 16
5.8742822925 , 1.9622592871 , 29 , 1 , 1 , 15
6.2887160706 , 2.8875186889 , 46 , 2 , 1 , 16
6.37927472 , 2.6903952659 , 44 , 1 , 1 , 18
6.8685345658 , 3.1796551117 , 49 , 2 , 1 , 18
5.0142650621 , 1.4589170007 , 33 , 2 , 1 , 13
5.8032432682 , 2.1143638141 , 28 , 1 , 1 , 12
6.1753873853 , 2.4865079312 , 26 , 1 , 1 , 12
4.5659494728 , 3.1796551117 , 43 , 2 , 1 , 12
5.7897249045 , 2.1008454503 , 29 , 2 , 1 , 12
6.6200732065 , 2.9311937524 , 45 , 1 , 1 , 13
6.0920057763 , 2.4544196166 , 30 , 2 , 1 , 12
6.7502013789 , 2.8381783734 , 46 , 2 , 1 , 20
6.7631740502 , 2.8511510447 , 38 , 2 , 1 , 18
6.4222474632 , 2.414914278 , 37 , 1 , 1 , 12
6.8124450992 , 3.1235656451 , 35 , 1 , 1 , 12
6.1753873853 , 2.437717767 , 46 , 2 , 1 , 18
6.0520891689 , 2.3632097148 , 43 , 2 , 1 , 12
6.5118596219 , 2.8229801678 , 38 , 1 , 1 , 12
5.2983173665 , 2.302585093 , 39 , 2 , 1 , 12
6.0695823264 , 1.7520942128 , 39 , 1 , 1 , 12
6.287501047 , 2.7039821086 , 39 , 2 , 1 , 12
5.5214609179 , 1.8838747581 , 32 , 2 , 1 , 15
6.342392238 , 2.7870441765 , 49 , 2 , 1 , 13
4.4588095973 , 1.0576122156 , 26 , 2 , 1 , 13
3.8066624898 , 2.1972245773 , 28 , 2 , 1 , 12
6.3904987649 , 2.7016193108 , 34 , 2 , 1 , 12
